language,translation_name,author,notes
Albanian,Hasan Efendi Nahi,Hasan Efendi Nahi,
Amazigh,Ramdane At Mansour,Ramdane At Mansour,
Amharic,Muhammad Sadiq & Muhammad Sani Habib,Muhammad Sadiq & Muhammad Sani Habib,
Assamese,Shaykh Rafeequl Islam Habibur-Rahman,Shaykh Rafeequl Islam Habibur-Rahman,
Azeri,Alikhan Musayev,Alikhan Musayev,
Bambara,Baba Mamady Jani,Baba Mamady Jani,
Bengali,Dr. Abu Bakr Muhammad Zakaria,Dr. Abu Bakr Muhammad Zakaria,
Bosnian,Besim Korkut,Besim Korkut,
Bulgarian,Tzvetan Theophanov,Tzvetan Theophanov,
Central Khmer,Cambodian Muslim Community Development,Cambodian Muslim Community Development,
Chechen,Magomed Magomedov,Magomed Magomedov,
Chinese,Muhammad Makin,Muhammad Makin,
Dari,Mawlawi Muhammad Anwar Badakhshani,Mawlawi Muhammad Anwar Badakhshani,
Divehi,Office of the President of Maldives,Office of the President of Maldives,
Dutch,Sofian S. Siregar,Sofian S. Siregar,
English,Fadel Soliman (Bridges' Translation),Fadel Soliman,
French,Rashid Maash,Rashid Maash,
Ganda,African Development Foundation,African Development Foundation,
German,Frank Bubenheim and Nadeem (Elyas),Frank Bubenheim and Nadeem (Elyas),
Gujarati,Rabila Al-Umry,Rabila Al-Umry,
Hausa,Abubakar Mahmoud Gumi,Abubakar Mahmoud Gumi,
Hebrew,Dar Al-Salam Center,Dar Al-Salam Center,
Hindi,Maulana Azizul Haque al-Umari,Maulana Azizul Haque al-Umari,
Indonesian,The Sabiq Company,The Sabiq Company,
Italian,Hamza Roberto Piccardo,Hamza Roberto Piccardo,
Japanese,Saeed Sato,Saeed Sato,
Kannada,Muhammad Hamza Batur,Muhammad Hamza Batur,
Kazakh,Khalifa Altay,Khalifa Altay,
Kinyarwanda,Rwanda Muslims Association team,Rwanda Muslims Association team,
Korean,Hamed Choi,Hamed Choi,
Kurdish,Muhammad Saleh Bamoki,Muhammad Saleh Bamoki,
Malay,Abdullah Muhammad Basmeih,Abdullah Muhammad Basmeih,
Malayalam,Abdul-Hamid Haidar & Kanhi Muhammad,Abdul-Hamid Haidar & Kanhi Muhammad,
Maranao,Shaikh Abdulaziz Gurualim Saromantang,Shaikh Abdulaziz Gurualim Saromantang,
Marathi,Muhammad Shafi'i Ansari,Muhammad Shafi'i Ansari,
Nepali,Ahl Al-Hadith Central Society of Nepal,Ahl Al-Hadith Central Society of Nepal,
Oromo,Ghali Apapur Apaghuna,Ghali Apapur Apaghuna,
Pashto,Zakaria Abulsalam,Zakaria Abulsalam,
Persian,Rowwad Translation Center,Rowwad Translation Center,
Polish,Jozef Bielawski,Jozef Bielawski,
Portuguese,Helmi Nasr,Helmi Nasr,
Romanian,George Grigore,George Grigore,
Russian,Elmir Kuliev,Elmir Kuliev,
Sindhi,Taj Mehmood Amroti,Taj Mehmood Amroti,
Sinhala,Ruwwad Center (Translation Pioneers Center),Translation Pioneers Center,
Somali,Mahmud Muhammad Abduh,Mahmud Muhammad Abduh,
Spanish,Sheikh Isa Garcia,Sheikh Isa Garcia,
Swahili,Ali Muhsin Al-Barwani,Ali Muhsin Al-Barwani,
Swedish,Knut Bernstrom,Knut Bernstrom,
Tagalog,Dar Al-Salam Center,Dar Al-Salam Center,
Tajik,Khawaja Mirof & Khawaja Mir,Khawaja Mirof & Khawaja Mir,
Tamil,Sheikh Omar Sharif bin Abdul Salam,Sheikh Omar Sharif bin Abdul Salam,
Telugu,Maulana Abder-Rahim ibn Muhammad,Maulana Abder-Rahim ibn Muhammad,
Thai,Society of Institutes and Universities,Society of Institutes and Universities,
Turkish,Elmalılı Hamdi Yazır,Elmalılı Hamdi Yazır,
Uyghur,Muhammad Saleh,Muhammad Saleh,
Ukrainian,Dr. Mikhailo Yakubovych,Dr. Mikhailo Yakubovych,
Urdu,Fatah Muhammad Jalandhari,Fatah Muhammad Jalandhari,
Uzbek,Muhammad Sodik Muhammad Yusuf,Muhammad Sodik Muhammad Yusuf,
Vietnamese,Hasan Abdul-Karim,Hasan Abdul-Karim,
Yau/Yuw,Abdul Hamid Silika,Abdul Hamid Silika,
Yoruba,Shaykh Abu Rahimah Mikael Aykyuni,Shaykh Abu Rahimah Mikael Aykyuni,
